bank,account,year,rank
BS,TL,1865,6
BS,D,1865,6
BS,A,1865,5
RBS,TL,1865,1
RBS,D,1865,2
RBS,A,1865,1
BLB,TL,1865,3
BLB,D,1865,3
BLB,A,1865,4
CB,TL,1865,5
CB,D,1865,5
CB,A,1865,6
NB,TL,1865,4
NB,D,1865,4
NB,A,1865,3
UB,TL,1865,2
UB,D,1865,1
UB,A,1865,2
CIB,TL,1865,8
CIB,D,1865,8
CIB,A,1865,8
CGB,TL,1865,7
CGB,D,1865,7
CGB,A,1865,7
BS,TL,1870,2
BS,D,1870,3
BS,A,1870,2
RBS,TL,1870,1
RBS,D,1870,2
RBS,A,1870,1
BLB,TL,1870,6
BLB,D,1870,6
BLB,A,1870,6
CB,TL,1870,5
CB,D,1870,5
CB,A,1870,5
NB,TL,1870,3
NB,D,1870,2
NB,A,1870,3
UB,TL,1870,4
UB,D,1870,4
UB,A,1870,4
CIB,TL,1870,8
CIB,D,1870,8
CIB,A,1870,8
CGB,TL,1870,7
CGB,D,1870,7
CGB,A,1870,7
BS,TL,1875,2
BS,D,1875,3
BS,A,1875,2
RBS,TL,1875,3
RBS,D,1875,1
RBS,A,1875,4
BLB,TL,1875,7
BLB,D,1875,7
BLB,A,1875,7
CB,TL,1875,5
CB,D,1875,4
CB,A,1875,6
NB,TL,1875,1
NB,D,1875,1
NB,A,1875,3
UB,TL,1875,6
UB,D,1875,5
UB,A,1875,5
CIB,TL,1875,8
CIB,D,1875,8
CIB,A,1875,8
CGB,TL,1875,4
CGB,D,1875,6
CGB,A,1875,1
BS,TL,1880,1
BS,D,1880,1
BS,A,1880,2
RBS,TL,1880,2
RBS,D,1880,2
RBS,A,1880,1
BLB,TL,1880,5
BLB,D,1880,5
BLB,A,1880,4
CB,TL,1880,6
CB,D,1880,6
CB,A,1880,5
NB,TL,1880,3
NB,D,1880,3
NB,A,1880,4
UB,TL,1880,4
UB,D,1880,4
UB,A,1880,6
CIB,TL,1880,7
CIB,D,1880,7
CIB,A,1880,7
CGB,TL,1880,
CGB,D,1880,
CGB,A,1880,
BS,TL,1885,1
BS,D,1885,1
BS,A,1885,1
RBS,TL,1885,3
RBS,D,1885,2
RBS,A,1885,2
BLB,TL,1885,5
BLB,D,1885,6
BLB,A,1885,4
CB,TL,1885,4
CB,D,1885,4
CB,A,1885,5
NB,TL,1885,2
NB,D,1885,2
NB,A,1885,3
UB,TL,1885,6
UB,D,1885,5
UB,A,1885,6
CIB,TL,1885,7
CIB,D,1885,7
CIB,A,1885,7
CGB,TL,1885,
CGB,D,1885,
CGB,A,1885,
BS,TL,1886,1
BS,D,1886,1
BS,A,1886,1
RBS,TL,1886,3
RBS,D,1886,3
RBS,A,1886,3
BLB,TL,1886,4
BLB,D,1886,4
BLB,A,1886,4
CB,TL,1886,5
CB,D,1886,6
CB,A,1886,5
NB,TL,1886,2
NB,D,1886,2
NB,A,1886,2
UB,TL,1886,6
UB,D,1886,5
UB,A,1886,6
CIB,TL,1886,7
CIB,D,1886,7
CIB,A,1886,7
CGB,TL,1886,
CGB,D,1886,
CGB,A,1886,
BS,TL,1890,1
BS,D,1890,1
BS,A,1890,1
RBS,TL,1890,3
RBS,D,1890,3
RBS,A,1890,2
BLB,TL,1890,4
BLB,D,1890,4
BLB,A,1890,4
CB,TL,1890,5
CB,D,1890,5
CB,A,1890,5
NB,TL,1890,2
NB,D,1890,2
NB,A,1890,3
UB,TL,1890,6
UB,D,1890,6
UB,A,1890,7
CIB,TL,1890,7
CIB,D,1890,7
CIB,A,1890,6
CGB,TL,1890,
CGB,D,1890,
CGB,A,1890,
BS,TL,1895,1
BS,D,1895,1
BS,A,1895,1
RBS,TL,1895,2
RBS,D,1895,3
RBS,A,1895,3
BLB,TL,1895,5
BLB,D,1895,5
BLB,A,1895,2
CB,TL,1895,4
CB,D,1895,3
CB,A,1895,5
NB,TL,1895,3
NB,D,1895,2
NB,A,1895,4
UB,TL,1895,6
UB,D,1895,6
UB,A,1895,7
CIB,TL,1895,7
CIB,D,1895,7
CIB,A,1895,6
CGB,TL,1895,
CGB,D,1895,
CGB,A,1895,
BS,TL,1900,1
BS,D,1900,1
BS,A,1900,2
RBS,TL,1900,3
RBS,D,1900,4
RBS,A,1900,1
BLB,TL,1900,4
BLB,D,1900,5
BLB,A,1900,4
CB,TL,1900,5
CB,D,1900,3
CB,A,1900,5
NB,TL,1900,2
NB,D,1900,2
NB,A,1900,3
UB,TL,1900,6
UB,D,1900,6
UB,A,1900,7
CIB,TL,1900,7
CIB,D,1900,7
CIB,A,1900,6
CGB,TL,1900,
CGB,D,1900,
CGB,A,1900,
BS,TL,1905,1
BS,D,1905,1
BS,A,1905,2
RBS,TL,1905,2
RBS,D,1905,4
RBS,A,1905,1
BLB,TL,1905,5
BLB,D,1905,6
BLB,A,1905,4
CB,TL,1905,4
CB,D,1905,3
CB,A,1905,5
NB,TL,1905,3
NB,D,1905,2
NB,A,1905,3
UB,TL,1905,6
UB,D,1905,5
UB,A,1905,7
CIB,TL,1905,7
CIB,D,1905,7
CIB,A,1905,6
CGB,TL,1905,
CGB,D,1905,
CGB,A,1905,
BS,TL,1910,1
BS,D,1910,1
BS,A,1910,1
RBS,TL,1910,4
RBS,D,1910,4
RBS,A,1910,4
BLB,TL,1910,5
BLB,D,1910,7
BLB,A,1910,3
CB,TL,1910,3
CB,D,1910,3
CB,A,1910,5
NB,TL,1910,2
NB,D,1910,2
NB,A,1910,2
UB,TL,1910,6
UB,D,1910,6
UB,A,1910,7
CIB,TL,1910,7
CIB,D,1910,5
CIB,A,1910,6
CGB,TL,1910,
CGB,D,1910,
CGB,A,1910,
BS,TL,1914,1
BS,D,1914,1
BS,A,1914,1
RBS,TL,1914,4
RBS,D,1914,4
RBS,A,1914,3
BLB,TL,1914,6
BLB,D,1914,7
BLB,A,1914,7
CB,TL,1914,2
CB,D,1914,2
CB,A,1914,5
NB,TL,1914,3
NB,D,1914,3
NB,A,1914,2
UB,TL,1914,5
UB,D,1914,4
UB,A,1914,6
CIB,TL,1914,7
CIB,D,1914,6
CIB,A,1914,4
CGB,TL,1914,
CGB,D,1914,
CGB,A,1914,
BS,TL,1915,1
BS,D,1915,1
BS,A,1915,1
RBS,TL,1915,3
RBS,D,1915,5
RBS,A,1915,5
BLB,TL,1915,7
BLB,D,1915,7
BLB,A,1915,3
CB,TL,1915,4
CB,D,1915,4
CB,A,1915,6
NB,TL,1915,2
NB,D,1915,2
NB,A,1915,2
UB,TL,1915,6
UB,D,1915,6
UB,A,1915,7
CIB,TL,1915,5
CIB,D,1915,5
CIB,A,1915,4
CGB,TL,1915,
CGB,D,1915,
CGB,A,1915,
BS,TL,1920,4
BS,D,1920,4
BS,A,1920,7
RBS,TL,1920,2
RBS,D,1920,3
RBS,A,1920,5
BLB,TL,1920,7
BLB,D,1920,7
BLB,A,1920,6
CB,TL,1920,1
CB,D,1920,1
CB,A,1920,4
NB,TL,1920,5
NB,D,1920,5
NB,A,1920,3
UB,TL,1920,6
UB,D,1920,6
UB,A,1920,2
CIB,TL,1920,3
CIB,D,1920,3
CIB,A,1920,1
CGB,TL,1920,
CGB,D,1920,
CGB,A,1920,
BS,TL,1925,4
BS,D,1925,5
BS,A,1925,5
RBS,TL,1925,1
RBS,D,1925,2
RBS,A,1925,1
BLB,TL,1925,6
BLB,D,1925,7
BLB,A,1925,6
CB,TL,1925,2
CB,D,1925,2
CB,A,1925,2
NB,TL,1925,5
NB,D,1925,3
NB,A,1925,4
UB,TL,1925,7
UB,D,1925,6
UB,A,1925,6
CIB,TL,1925,3
CIB,D,1925,4
CIB,A,1925,3
CGB,TL,1925,
CGB,D,1925,
CGB,A,1925,
BS,TL,1930,3
BS,D,1930,3
BS,A,1930,4
RBS,TL,1930,1
RBS,D,1930,1
RBS,A,1930,1
BLB,TL,1930,7
BLB,D,1930,7
BLB,A,1930,7
CB,TL,1930,2
CB,D,1930,2
CB,A,1930,2
NB,TL,1930,4
NB,D,1930,4
NB,A,1930,3
UB,TL,1930,6
UB,D,1930,6
UB,A,1930,6
CIB,TL,1930,5
CIB,D,1930,5
CIB,A,1930,5
CGB,TL,1930,
CGB,D,1930,
CGB,A,1930,
BS,TL,1935,3
BS,D,1935,3
BS,A,1935,3
RBS,TL,1935,1
RBS,D,1935,1
RBS,A,1935,1
BLB,TL,1935,6
BLB,D,1935,6
BLB,A,1935,7
CB,TL,1935,2
CB,D,1935,2
CB,A,1935,2
NB,TL,1935,4
NB,D,1935,4
NB,A,1935,4
UB,TL,1935,7
UB,D,1935,7
UB,A,1935,6
CIB,TL,1935,5
CIB,D,1935,5
CIB,A,1935,5
CGB,TL,1935,
CGB,D,1935,
CGB,A,1935,
BS,TL,1940,3
BS,D,1940,3
BS,A,1940,3
RBS,TL,1940,1
RBS,D,1940,1
RBS,A,1940,1
BLB,TL,1940,6
BLB,D,1940,7
BLB,A,1940,7
CB,TL,1940,2
CB,D,1940,2
CB,A,1940,4
NB,TL,1940,4
NB,D,1940,5
NB,A,1940,3
UB,TL,1940,7
UB,D,1940,6
UB,A,1940,6
CIB,TL,1940,5
CIB,D,1940,4
CIB,A,1940,5
CGB,TL,1940,
CGB,D,1940,
CGB,A,1940,
BS,TL,1945,3
BS,D,1945,3
BS,A,1945,3
RBS,TL,1945,1
RBS,D,1945,1
RBS,A,1945,1
BLB,TL,1945,6
BLB,D,1945,6
BLB,A,1945,5
CB,TL,1945,2
CB,D,1945,2
CB,A,1945,2
NB,TL,1945,4
NB,D,1945,4
NB,A,1945,4
UB,TL,1945,7
UB,D,1945,7
UB,A,1945,7
CIB,TL,1945,5
CIB,D,1945,5
CIB,A,1945,6
CGB,TL,1945,
CGB,D,1945,
CGB,A,1945,
BS,TL,1946,3
BS,D,1946,4
BS,A,1946,4
RBS,TL,1946,1
RBS,D,1946,1
RBS,A,1946,1
BLB,TL,1946,6
BLB,D,1946,6
BLB,A,1946,7
CB,TL,1946,2
CB,D,1946,2
CB,A,1946,3
NB,TL,1946,4
NB,D,1946,4
NB,A,1946,4
UB,TL,1946,7
UB,D,1946,7
UB,A,1946,7
CIB,TL,1946,5
CIB,D,1946,5
CIB,A,1946,6
CGB,TL,1946,
CGB,D,1946,
CGB,A,1946,
BS,TL,1950,4
BS,D,1950,5
BS,A,1950,5
RBS,TL,1950,2
RBS,D,1950,2
RBS,A,1950,2
BLB,TL,1950,7
BLB,D,1950,7
BLB,A,1950,7
CB,TL,1950,3
CB,D,1950,3
CB,A,1950,3
NB,TL,1950,5
NB,D,1950,5
NB,A,1950,4
UB,TL,1950,6
UB,D,1950,6
UB,A,1950,6
CIB,TL,1950,1
CIB,D,1950,1
CIB,A,1950,1
CGB,TL,1950,
CGB,D,1950,
CGB,A,1950,
BS,TL,1955,1
BS,D,1955,1
BS,A,1955,1
RBS,TL,1955,3
RBS,D,1955,2
RBS,A,1955,2
BLB,TL,1955,6
BLB,D,1955,6
BLB,A,1955,6
CB,TL,1955,4
CB,D,1955,4
CB,A,1955,4
NB,TL,1955,5
NB,D,1955,5
NB,A,1955,
UB,TL,1955,
UB,D,1955,
UB,A,1955,
CIB,TL,1955,2
CIB,D,1955,2
CIB,A,1955,3
CGB,TL,1955,
CGB,D,1955,
CGB,A,1955,
BS,TL,1960,2
BS,D,1960,1
BS,A,1960,1
RBS,TL,1960,4
RBS,D,1960,4
RBS,A,1960,4
BLB,TL,1960,5
BLB,D,1960,5
BLB,A,1960,5
CB,TL,1960,1
CB,D,1960,1
CB,A,1960,21
NB,TL,1960,
NB,D,1960,
NB,A,1960,
UB,TL,1960,
UB,D,1960,
UB,A,1960,
CIB,TL,1960,3
CIB,D,1960,2
CIB,A,1960,3
CGB,TL,1960,
CGB,D,1960,
CGB,A,1960,
BS,TL,1965,2
BS,D,1965,1
BS,A,1965,1
RBS,TL,1965,4
RBS,D,1965,4
RBS,A,1965,4
BLB,TL,1965,5
BLB,D,1965,5
BLB,A,1965,5
CB,TL,1965,1
CB,D,1965,1
CB,A,1965,21
NB,TL,1965,
NB,D,1965,
NB,A,1965,
UB,TL,1965,
UB,D,1965,
UB,A,1965,
CIB,TL,1965,3
CIB,D,1965,2
CIB,A,1965,3
CGB,TL,1965,
CGB,D,1965,
CGB,A,1965,
BS,TL,1970,2
BS,D,1970,2
BS,A,1970,2
RBS,TL,1970,1
RBS,D,1970,1
RBS,A,1970,1
BLB,TL,1970,4
BLB,D,1970,4
BLB,A,1970,4
CB,TL,1970,
CB,D,1970,
CB,A,1970,
NB,TL,1970,
NB,D,1970,
NB,A,1970,
UB,TL,1970,
UB,D,1970,
UB,A,1970,
CIB,TL,1970,3
CIB,D,1970,2
CIB,A,1970,3
CGB,TL,1970,
CGB,D,1970,
CGB,A,1970,
BS,TL,1972,2
BS,D,1972,2
BS,A,1972,2
RBS,TL,1972,1
RBS,D,1972,1
RBS,A,1972,1
BLB,TL,1972,
BLB,D,1972,
BLB,A,1972,
CB,TL,1972,
CB,D,1972,
CB,A,1972,
NB,TL,1972,
NB,D,1972,
NB,A,1972,
UB,TL,1972,
UB,D,1972,
UB,A,1972,
CIB,TL,1972,3
CIB,D,1972,3
CIB,A,1972,3
CGB,TL,1972,
CGB,D,1972,
CGB,A,1972,