Table 36 Bank of Scotland - Liabilities and assets 1775 - 1810 (1000s),,,,,,,,,,,,,,,,
,1775,,1780,,1792,,1797,,1800,,1802,,1805,,1810,
Liabilities,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
1. Deposits at head office,240,52,92,14,164,24,142,7,88,4,85,4,105,5,31,1
2. Branches in credit,0,0,0,0,27,4,151,7,154,6,345,14,229,10,357,15
,240,52,92,14,191,28,293,14,242,10,430,18,334,15,388,16
3. Notes in hands of public,25,5,289,43,80,12,852,41,937,40,867,36,650,30,730,30
4. To proprietors,,,,,,,,,,,,,,,,
(a) Capital,177,39,200,30,300,44,803,38,989,43,1000,41,1000,46,1000,42
(b) Surplus,7,2,32,5,77,11,144,7,110,5,124,5,148,7,174,7
Assets,,,,,,,,,,,,,,,,
1. Advances to public (Head office),,,,,,,,,,,,,,,,
(a) On bonds,233,52,256,39,35,5,15,1,9,0,15,1,34,2,41,2
(b) Bills discounted,53,12,13,2,24,4,67,3,418,18,368,15,285,13,391,16
(c) Cash accounts,88,20,40,6,54,8,3,0,3,0,3,0,3,0,1,0
,374,84,309,47,113,17,85,4,430,18,386,16,322,15,433,18
2. Loans to agents,49,11,174,26,379,55,1005,48,880,38,675,28,863,40,1195,50
,423,95,483,73,492,72,1090,52,1310,56,1061,44,1185,55,1628,68
3. Specie,2,1,14,2,27,4,40,2,45,2,42,2,31,1,37,2
4. Investments,0,0,162,24,158,23,793,38,935,40,1149,47,948,44,702,29
5. London assets,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6. Sundries,33,4,7,1,5,1,169,8,27,2,169,7,12,0,30,1
,459,100,666,100,682,100,2092,100,2317,100,2421,100,2176,100,2397,100
Source: BS ledgers,,,,,,,,,,,,,,,,